frequency_Hz,value,error_lower,error_upper,gamma,marker_face_color
10.0,1.1218994331578438,0.011732914475513485,0.011732914475513485,0.05,[0.6 1.  0.6]
12.0,1.124444970522807,0.01480278731425602,0.01480278731425602,0.05,[0.6 1.  0.6]
14.0,1.1314639817293433,0.009754194797805564,0.009754194797805564,0.05,[0.6 1.  0.6]
16.0,1.1059680475610145,0.006909484179691517,0.006909484179691517,0.05,[0.6 1.  0.6]
18.0,1.0642426805375034,0.0064601601977242774,0.0064601601977242774,0.05,[0.6 1.  0.6]
20.0,1.0441208017504178,0.004316677983580469,0.004316677983580469,0.05,[0.6 1.  0.6]
22.0,0.9886672760718307,0.0029632136174757733,0.0029632136174757733,0.05,[0.6 1.  0.6]
25.0,0.9461065078949631,0.00454896468487606,0.00454896468487606,0.05,[0.6 1.  0.6]
28.0,0.8976008634293244,0.005362548121666974,0.005362548121666974,0.05,[0.6 1.  0.6]
30.0,0.8817322617513524,0.0014401434225662204,0.0014401434225662204,0.05,[0.6 1.  0.6]
35.0,0.8372448646583419,0.002083529374638791,0.002083529374638791,0.05,[0.6 1.  0.6]
40.0,0.7559467620007075,0.004495895600196128,0.004495895600196128,0.05,[0.6 1.  0.6]
45.0,0.7515975576805368,0.005817443281680584,0.005817443281680584,0.05,[0.6 1.  0.6]
50.0,0.7269413446288078,0.003414254641968081,0.003414254641968081,0.05,[0.6 1.  0.6]
60.0,0.683189903437599,0.002923803053854392,0.002923803053854392,0.05,[0.6 1.  0.6]
70.0,0.6470159281285375,0.00406537301284576,0.00406537301284576,0.05,[0.6 1.  0.6]
80.0,0.6227292712916277,0.0036067548152042372,0.0036067548152042372,0.05,[0.6 1.  0.6]
90.0,0.6073939986043856,0.003099807507629463,0.003099807507629463,0.05,[0.6 1.  0.6]
100.0,0.5846965262923753,0.012266736862300402,0.012266736862300402,0.05,[0.6 1.  0.6]
10.0,1.1178430564357862,0.008939036891121684,0.008939036891121684,0.2,[0.35 0.75 0.35]
12.0,1.1231311492816798,0.008704808876561186,0.008704808876561186,0.2,[0.35 0.75 0.35]
14.0,1.1263014977938128,0.0036713157904041706,0.0036713157904041706,0.2,[0.35 0.75 0.35]
16.0,1.1046966287249804,0.003696667077845825,0.003696667077845825,0.2,[0.35 0.75 0.35]
18.0,1.0801332414962501,0.005022279815201689,0.005022279815201689,0.2,[0.35 0.75 0.35]
20.0,1.0432824938277254,0.004928124179334985,0.004928124179334985,0.2,[0.35 0.75 0.35]
22.0,0.9950117624198468,0.004414317398685786,0.004414317398685786,0.2,[0.35 0.75 0.35]
25.0,0.9462033145727056,0.0048512800032951995,0.0048512800032951995,0.2,[0.35 0.75 0.35]
