frequency_Hz,value,error_lower,error_upper,gamma,marker_face_color
10.0,4.214575999999994,1.1989898925962639,1.1989898925962639,0.05,[0.6 1.  0.6]
12.0,6.831388000000004,1.5092237959590356,1.5092237959590356,0.05,[0.6 1.  0.6]
14.0,10.10458899999999,0.9875793877926979,0.9875793877926979,0.05,[0.6 1.  0.6]
16.0,13.758810000000011,0.709174177299202,0.709174177299202,0.05,[0.6 1.  0.6]
18.0,15.799885999999987,0.6894773670868393,0.6894773670868393,0.05,[0.6 1.  0.6]
20.0,18.269588000000002,0.4750348374677377,0.4750348374677377,0.05,[0.6 1.  0.6]
22.0,19.84853000000001,0.33952969244235476,0.33952969244235476,0.05,[0.6 1.  0.6]
25.0,21.228523000000003,0.5566567481311979,0.5566567481311979,0.05,[0.6 1.  0.6]
28.0,22.416053999999974,0.6832453382475434,0.6832453382475434,0.05,[0.6 1.  0.6]
30.0,22.009744999999995,0.18474874804717895,0.18474874804717895,0.05,[0.6 1.  0.6]
35.0,23.511069999999997,0.28939634634355704,0.28939634634355704,0.05,[0.6 1.  0.6]
40.0,23.335186000000007,0.6673851703192093,0.6673851703192093,0.05,[0.6 1.  0.6]
45.0,22.02457600000001,0.8862625101187571,0.8862625101187571,0.05,[0.6 1.  0.6]
50.0,25.427875,0.5275751654627044,0.5275751654627044,0.05,[0.6 1.  0.6]
60.0,22.106589,0.49681702127141336,0.49681702127141336,0.05,[0.6 1.  0.6]
70.0,22.50389,0.7425309709103048,0.7425309709103048,0.05,[0.6 1.  0.6]
80.0,19.944920999999994,0.676449694523547,0.676449694523547,0.05,[0.6 1.  0.6]
90.0,18.557499,0.6028532689668357,0.6028532689668357,0.05,[0.6 1.  0.6]
100.0,17.44245,2.4669337727480647,2.4669337727480647,0.05,[0.6 1.  0.6]
10.0,4.358055999999991,0.9142817793612646,0.9142817793612646,0.2,[0.35 0.75 0.35]
12.0,7.362425999999996,0.8894307834317406,0.8894307834317406,0.2,[0.35 0.75 0.35]
14.0,10.181639000000004,0.3713752344839381,0.3713752344839381,0.2,[0.35 0.75 0.35]
16.0,13.263683999999998,0.3859577293240803,0.3859577293240803,0.2,[0.35 0.75 0.35]
18.0,15.761288,0.5359043115053282,0.5359043115053282,0.2,[0.35 0.75 0.35]
20.0,18.359381000000006,0.5458361031848297,0.5458361031848297,0.2,[0.35 0.75 0.35]
22.0,20.347537000000017,0.5047151845120176,0.5047151845120176,0.2,[0.35 0.75 0.35]
25.0,21.706067000000004,0.5796007122735444,0.5796007122735444,0.2,[0.35 0.75 0.35]
28.0,22.291900999999996,0.5552542890108999,0.5552542890108999,0.2,[0.35 0.75 0.35]
30.0,22.725287999999992,0.4651807328168268,0.4651807328168268,0.2,[0.35 0.75 0.35]
35.0,22.929271,0.6091203428428572,0.6091203428428572,0.2,[0.35 0.75 0.35]
40.0,25.362592000000006,0.33489239213813143,0.33489239213813143,0.2,[0.35 0.75 0.35]
45.0,23.347350000000006,0.4281548743352106,0.4281548743352106,0.2,[0.35 0.75 0.35]
50.0,24.35362400000001,0.31737115993108134,0.31737115993108134,0.2,[0.35 0.75 0.35]
60.0,22.20551499999999,0.4124820523925859,0.4124820523925859,0.2,[0.35 0.75 0.35]
70.0,20.670510000000007,0.9788920152192477,0.9788920152192477,0.2,[0.35 0.75 0.35]
80.0,18.544085999999993,0.3874614088306086,0.3874614088306086,0.2,[0.35 0.75 0.35]
90.0,18.546435000000002,1.0057629199528089,1.0057629199528089,0.2,[0.35 0.75 0.35]
100.0,18.146171,0.4771211494452955,0.4771211494452955,0.2,[0.35 0.75 0.35]
10.0,4.422629000000001,0.6312203440677432,0.6312203440677432,0.5,[0.1 0.5 0.1]
12.0,6.366158999999996,0.18426000430098768,0.18426000430098768,0.5,[0.1 0.5 0.1]
14.0,10.240679999999998,0.33192910841021456,0.33192910841021456,0.5,[0.1 0.5 0.1]
16.0,13.630364,0.46433886348764736,0.46433886348764736,0.5,[0.1 0.5 0.1]
18.0,16.080054,0.427336137353255,0.427336137353255,0.5,[0.1 0.5 0.1]
20.0,18.503157,0.27692208519545713,0.27692208519545713,0.5,[0.1 0.5 0.1]
22.0,20.441621,0.3061247306344262,0.3061247306344262,0.5,[0.1 0.5 0.1]
25.0,21.953809999999997,0.4360842389091814,0.4360842389091814,0.5,[0.1 0.5 0.1]
28.0,21.987100999999996,0.31759844919174274,0.31759844919174274,0.5,[0.1 0.5 0.1]
30.0,23.028728,0.30568075533961897,0.30568075533961897,0.5,[0.1 0.5 0.1]
35.0,22.531903,0.6537340324658033,0.6537340324658033,0.5,[0.1 0.5 0.1]
40.0,22.225753000000005,0.7482181597635813,0.7482181597635813,0.5,[0.1 0.5 0.1]
45.0,23.237642000000022,0.4941256680410359,0.4941256680410359,0.5,[0.1 0.5 0.1]
50.0,24.44755599999999,0.3073778863223573,0.3073778863223573,0.5,[0.1 0.5 0.1]
60.0,22.117008999999996,0.7419374067736443,0.7419374067736443,0.5,[0.1 0.5 0.1]
70.0,21.704113000000007,0.593823137804515,0.593823137804515,0.5,[0.1 0.5 0.1]
80.0,18.19448299999999,0.2823423318190172,0.2823423318190172,0.5,[0.1 0.5 0.1]
90.0,18.261837,0.5631235652225896,0.5631235652225896,0.5,[0.1 0.5 0.1]
100.0,17.939397,0.32126194204262665,0.32126194204262665,0.5,[0.1 0.5 0.1]
