time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-04,-7.856495e-05,2.196347e-10
6.666667e-04,-2.277343e-04,6.838124e-10
1.000000e-03,-4.407363e-04,1.411191e-09
1.333333e-03,-7.114714e-04,2.416716e-09
1.666667e-03,-1.034304e-03,3.712659e-09
2.000000e-03,-1.403960e-03,5.309165e-09
2.333333e-03,-1.815465e-03,7.214589e-09
2.666667e-03,-2.264113e-03,9.435738e-09
3.000000e-03,-2.745439e-03,1.197806e-08
3.333333e-03,-3.255212e-03,1.484584e-08
3.666667e-03,-3.789422e-03,1.804235e-08
4.000000e-03,-4.344278e-03,2.157010e-08
4.333333e-03,-4.916203e-03,2.543102e-08
4.666667e-03,-5.501838e-03,2.962666e-08
5.000000e-03,-6.098039e-03,3.415838e-08
5.333333e-03,-6.701878e-03,3.902752e-08
5.666667e-03,-7.310646e-03,4.423541e-08
6.000000e-03,-7.921852e-03,4.978347e-08
6.333333e-03,-8.533223e-03,5.567312e-08
6.666667e-03,-9.142705e-03,6.190573e-08
7.000000e-03,-9.748463e-03,6.848250e-08
7.333333e-03,-1.034888e-02,7.540436e-08
7.666667e-03,-1.094254e-02,8.267182e-08
8.000000e-03,-1.152825e-02,9.028494e-08
8.333333e-03,-1.210503e-02,9.824321e-08
8.666667e-03,-1.267207e-02,1.065456e-07
9.000000e-03,-1.322877e-02,1.151903e-07
9.333333e-03,-1.377471e-02,1.241753e-07
9.666667e-03,-1.430965e-02,1.334977e-07
1.000000e-02,-1.483352e-02,1.431544e-07
1.033333e-02,-1.534637e-02,1.531419e-07
1.066667e-02,-1.584843e-02,1.634563e-07
1.100000e-02,-1.634003e-02,1.740936e-07
1.133333e-02,-1.682164e-02,1.850498e-07
1.166667e-02,-1.729380e-02,1.963207e-07
1.200000e-02,-1.775717e-02,2.079022e-07
1.233333e-02,-1.821245e-02,2.197906e-07
1.266667e-02,-1.866042e-02,2.319820e-07
1.300000e-02,-1.910189e-02,2.444731e-07
1.333333e-02,-1.953769e-02,2.572607e-07
1.366667e-02,-1.996867e-02,2.703420e-07
1.400000e-02,-2.039567e-02,2.837145e-07
1.433333e-02,-2.081953e-02,2.973760e-07
1.466667e-02,-2.124102e-02,3.113247e-07
1.500000e-02,-2.166091e-02,3.255593e-07
1.533333e-02,-2.207990e-02,3.400786e-07
1.566667e-02,-2.249859e-02,3.548816e-07
1.600000e-02,-2.291756e-02,3.699679e-07
1.633333e-02,-2.333725e-02,3.853370e-07
1.666667e-02,-2.375806e-02,4.009888e-07
1.700000e-02,-2.418024e-02,4.169231e-07
1.733333e-02,-2.460396e-02,4.331399e-07
1.766667e-02,-2.502930e-02,4.496393e-07
1.800000e-02,-2.545620e-02,4.664212e-07
1.833333e-02,-2.588449e-02,4.834854e-07
1.866667e-02,-2.631393e-02,5.008318e-07
1.900000e-02,-2.674412e-02,5.184596e-07
1.933333e-02,-2.717459e-02,5.363684e-07
1.966667e-02,-2.760476e-02,5.545568e-07
2.000000e-02,-2.803396e-02,5.730237e-07
2.033333e-02,-2.846143e-02,5.917671e-07
2.066667e-02,-2.888635e-02,6.107848e-07
2.100000e-02,-2.930780e-02,6.300742e-07
2.133333e-02,-2.972482e-02,6.496321e-07
2.166667e-02,-3.013641e-02,6.694547e-07
2.200000e-02,-3.054152e-02,6.895379e-07
2.233333e-02,-3.093909e-02,7.098770e-07
2.266667e-02,-3.132803e-02,7.304667e-07
2.300000e-02,-3.170727e-02,7.513013e-07
2.333333e-02,-3.207575e-02,7.723744e-07
2.366667e-02,-3.243243e-02,7.936793e-07
2.400000e-02,-3.277630e-02,8.152089e-07
2.433333e-02,-3.310642e-02,8.369554e-07
2.466667e-02,-3.342191e-02,8.589109e-07
2.500000e-02,-3.372195e-02,8.810669e-07
2.533333e-02,-3.400581e-02,9.034149e-07
2.566667e-02,-3.427285e-02,9.259459e-07
2.600000e-02,-3.452253e-02,9.486507e-07
2.633333e-02,-3.475442e-02,9.715203e-07
2.666667e-02,-3.496821e-02,9.945452e-07
2.700000e-02,-3.516370e-02,1.017716e-06
2.733333e-02,-3.534080e-02,1.041024e-06
2.766667e-02,-3.549956e-02,1.064460e-06
2.800000e-02,-3.564016e-02,1.088014e-06
2.833333e-02,-3.576289e-02,1.111679e-06
2.866667e-02,-3.586816e-02,1.135446e-06
2.900000e-02,-3.595652e-02,1.159306e-06
2.933333e-02,-3.602862e-02,1.183253e-06
2.966667e-02,-3.608521e-02,1.207280e-06
3.000000e-02,-3.612715e-02,1.231379e-06
3.033333e-02,-3.615541e-02,1.255545e-06
3.066667e-02,-3.617103e-02,1.279772e-06
3.100000e-02,-3.617511e-02,1.304057e-06
3.133333e-02,-3.616884e-02,1.328394e-06
3.166667e-02,-3.615346e-02,1.352781e-06
3.200000e-02,-3.613023e-02,1.377214e-06
3.233333e-02,-3.610045e-02,1.401693e-06
3.266667e-02,-3.606544e-02,1.426216e-06
3.300000e-02,-3.602652e-02,1.450781e-06
3.333333e-02,-3.598499e-02,1.475390e-06
3.366667e-02,-3.594213e-02,1.500044e-06
3.400000e-02,-3.589919e-02,1.524742e-06
3.433333e-02,-3.585736e-02,1.549489e-06
3.466667e-02,-3.581777e-02,1.574286e-06
3.500000e-02,-3.578148e-02,1.599136e-06
3.533333e-02,-3.574948e-02,1.624042e-06
3.566667e-02,-3.572264e-02,1.649010e-06
3.600000e-02,-3.570176e-02,1.674043e-06
3.633333e-02,-3.568750e-02,1.699145e-06
3.666667e-02,-3.568043e-02,1.724321e-06
3.700000e-02,-3.568100e-02,1.749576e-06
3.733333e-02,-3.568952e-02,1.774916e-06
3.766667e-02,-3.570619e-02,1.800345e-06
3.800000e-02,-3.573107e-02,1.825868e-06
3.833333e-02,-3.576410e-02,1.851489e-06
3.866667e-02,-3.580511e-02,1.877214e-06
3.900000e-02,-3.585378e-02,1.903047e-06
3.933333e-02,-3.590969e-02,1.928991e-06
3.966667e-02,-3.597231e-02,1.955051e-06
4.000000e-02,-3.604100e-02,1.981229e-06
4.033333e-02,-3.611503e-02,2.007528e-06
4.066667e-02,-3.619357e-02,2.033952e-06
4.100000e-02,-3.627572e-02,2.060500e-06
4.133333e-02,-3.636051e-02,2.087175e-06
4.166667e-02,-3.644692e-02,2.113977e-06
4.200000e-02,-3.653389e-02,2.140906e-06
4.233333e-02,-3.662030e-02,2.167961e-06
4.266667e-02,-3.670506e-02,2.195141e-06
4.300000e-02,-3.678704e-02,2.222445e-06
4.333333e-02,-3.686512e-02,2.249868e-06
4.366667e-02,-3.693822e-02,2.277410e-06
4.400000e-02,-3.700527e-02,2.305065e-06
4.433333e-02,-3.706526e-02,2.332830e-06
4.466667e-02,-3.711724e-02,2.360701e-06
4.500000e-02,-3.716033e-02,2.388671e-06
4.533333e-02,-3.719372e-02,2.416736e-06
4.566667e-02,-3.721670e-02,2.444891e-06
4.600000e-02,-3.722863e-02,2.473128e-06
4.633333e-02,-3.722902e-02,2.501441e-06
4.666667e-02,-3.721746e-02,2.529825e-06
4.700000e-02,-3.719366e-02,2.558273e-06
4.733333e-02,-3.715745e-02,2.586778e-06
4.766667e-02,-3.710880e-02,2.615334e-06
4.800000e-02,-3.704777e-02,2.643935e-06
4.833333e-02,-3.697458e-02,2.672574e-06
