gamma,bathFrequency_Hz,bathAmplitude_cm,CoM_max_cm,CoM_rms_cm,elapsed_s,status
0.0500,10,1.242451e-02,3.6116e-02,2.9353e-02,208.3,ok
0.2000,10,4.969804e-02,3.7171e-02,2.9706e-02,195.8,ok
0.5000,10,1.242451e-01,4.7259e-02,3.1706e-02,184.9,ok
0.0500,20,3.106128e-03,3.5681e-02,2.9362e-02,198.8,ok
0.2000,20,1.242451e-02,3.7916e-02,2.9465e-02,196.4,ok
0.5000,20,3.106128e-02,4.3962e-02,3.0132e-02,197.2,ok
0.0500,30,1.380501e-03,3.7173e-02,2.9407e-02,190.8,ok
0.2000,30,5.522005e-03,3.8857e-02,2.9434e-02,197.3,ok
0.5000,30,1.380501e-02,4.2340e-02,2.9651e-02,198.2,ok
0.0500,40,7.765319e-04,3.6961e-02,2.9467e-02,201.0,ok
0.2000,40,3.106128e-03,3.7889e-02,2.9473e-02,190.7,ok
0.5000,40,7.765319e-03,3.9936e-02,2.9551e-02,193.7,ok
0.0500,50,4.969804e-04,3.6665e-02,2.9456e-02,196.5,ok
0.2000,50,1.987922e-03,3.7229e-02,2.9456e-02,194.9,ok
0.5000,50,4.969804e-03,3.8720e-02,2.9487e-02,197.5,ok
0.0500,60,3.451253e-04,3.7013e-02,2.9521e-02,198.6,ok
0.2000,60,1.380501e-03,3.7550e-02,2.9519e-02,191.1,ok
0.5000,60,3.451253e-03,3.8633e-02,2.9530e-02,196.6,ok
0.0500,70,2.535614e-04,3.6865e-02,2.9569e-02,196.1,ok
0.2000,70,1.014246e-03,3.7169e-02,2.9566e-02,193.6,ok
0.5000,70,2.535614e-03,3.7924e-02,2.9569e-02,195.3,ok
0.0500,80,1.941330e-04,3.6885e-02,2.9606e-02,197.2,ok
0.2000,80,7.765319e-04,3.7158e-02,2.9603e-02,195.7,ok
0.5000,80,1.941330e-03,3.7791e-02,2.9602e-02,195.9,ok
0.0500,90,1.533890e-04,3.6966e-02,2.9641e-02,188.0,ok
0.2000,90,6.135561e-04,3.7218e-02,2.9638e-02,197.3,ok
0.5000,90,1.533890e-03,3.7725e-02,2.9635e-02,187.1,ok
0.0500,100,1.242451e-04,3.6842e-02,2.9676e-02,195.0,ok
0.2000,100,4.969804e-04,3.6947e-02,2.9673e-02,181.8,ok
0.5000,100,1.242451e-03,3.7318e-02,2.9670e-02,194.6,ok
