time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-04,-9.647693e-05,2.697075e-10
6.666667e-04,-2.482924e-04,7.520262e-10
1.000000e-03,-4.503297e-04,1.459970e-09
1.333333e-03,-6.979447e-04,2.404836e-09
1.666667e-03,-9.869039e-04,3.596499e-09
2.000000e-03,-1.313327e-03,5.043688e-09
2.333333e-03,-1.673643e-03,6.754201e-09
2.666667e-03,-2.064559e-03,8.735064e-09
3.000000e-03,-2.483034e-03,1.099268e-08
3.333333e-03,-2.926256e-03,1.353294e-08
3.666667e-03,-3.391630e-03,1.636141e-08
4.000000e-03,-3.876756e-03,1.948343e-08
4.333333e-03,-4.379420e-03,2.290433e-08
4.666667e-03,-4.897580e-03,2.662951e-08
5.000000e-03,-5.429354e-03,3.066457e-08
5.333333e-03,-5.973012e-03,3.501539e-08
5.666667e-03,-6.526963e-03,3.968812e-08
6.000000e-03,-7.089744e-03,4.468911e-08
6.333333e-03,-7.660015e-03,5.002485e-08
6.666667e-03,-8.236547e-03,5.570182e-08
7.000000e-03,-8.818213e-03,6.172637e-08
7.333333e-03,-9.403983e-03,6.810452e-08
7.666667e-03,-9.992910e-03,7.484189e-08
8.000000e-03,-1.058413e-02,8.194353e-08
8.333333e-03,-1.117684e-02,8.941386e-08
8.666667e-03,-1.177032e-02,9.725659e-08
9.000000e-03,-1.236388e-02,1.054747e-07
9.333333e-03,-1.295691e-02,1.140704e-07
9.666667e-03,-1.354883e-02,1.230452e-07
1.000000e-02,-1.413909e-02,1.323998e-07
1.033333e-02,-1.472720e-02,1.421343e-07
1.066667e-02,-1.531266e-02,1.522480e-07
1.100000e-02,-1.589503e-02,1.627397e-07
1.133333e-02,-1.647388e-02,1.736077e-07
1.166667e-02,-1.704879e-02,1.848496e-07
1.200000e-02,-1.761935e-02,1.964627e-07
1.233333e-02,-1.818518e-02,2.084438e-07
1.266667e-02,-1.874589e-02,2.207893e-07
1.300000e-02,-1.930111e-02,2.334953e-07
1.333333e-02,-1.985046e-02,2.465575e-07
1.366667e-02,-2.039359e-02,2.599714e-07
1.400000e-02,-2.093012e-02,2.737323e-07
