gamma,bathFrequency_Hz,bathAmplitude_cm,CoM_max_cm,CoM_rms_cm,elapsed_s,status
0.0500,10,1.242451e-02,3.5321e-02,2.9321e-02,363.7,ok
0.2000,10,4.969804e-02,3.4689e-02,2.9391e-02,322.6,ok
0.5000,10,1.242451e-01,1.9902e+00,3.3481e-01,239.9,ok
0.0500,20,3.106128e-03,3.6854e-02,2.9334e-02,327.4,ok
0.2000,20,1.242451e-02,3.8169e-02,2.9445e-02,354.9,ok
0.5000,20,3.106128e-02,1.7292e-01,4.3337e-02,347.6,ok
0.0500,30,1.380501e-03,3.6892e-02,2.9343e-02,308.4,ok
0.2000,30,5.522005e-03,3.7738e-02,2.9406e-02,328.9,ok
0.5000,30,1.380501e-02,3.9799e-02,2.9759e-02,319.3,ok
0.0500,40,7.765319e-04,3.6514e-02,2.9361e-02,316.5,ok
0.2000,40,3.106128e-03,3.7409e-02,2.9394e-02,335.1,ok
0.5000,40,7.765319e-03,3.9987e-02,2.9580e-02,332.0,ok
0.0500,50,4.969804e-04,3.7055e-02,2.9354e-02,324.7,ok
0.2000,50,1.987922e-03,3.7897e-02,2.9372e-02,313.9,ok
0.5000,50,4.969804e-03,3.9652e-02,2.9475e-02,326.8,ok
0.0500,60,3.451253e-04,3.6951e-02,2.9389e-02,316.4,ok
0.2000,60,1.380501e-03,3.7488e-02,2.9399e-02,313.0,ok
0.5000,60,3.451253e-03,3.8687e-02,2.9460e-02,318.7,ok
0.0500,70,2.535614e-04,3.6784e-02,2.9380e-02,312.4,ok
0.2000,70,1.014246e-03,3.7016e-02,2.9387e-02,326.0,ok
0.5000,70,2.535614e-03,3.7713e-02,2.9425e-02,320.1,ok
0.0500,80,1.941330e-04,3.6966e-02,2.9426e-02,312.2,ok
0.2000,80,7.765319e-04,3.7251e-02,2.9431e-02,324.8,ok
0.5000,80,1.941330e-03,3.7836e-02,2.9455e-02,319.9,ok
0.0500,90,1.533890e-04,3.6881e-02,2.9384e-02,337.1,ok
0.2000,90,6.135561e-04,3.7051e-02,2.9386e-02,338.7,ok
0.5000,90,1.533890e-03,3.7505e-02,2.9403e-02,339.7,ok
