time_s,CoM_cm,eta_boundary_cm
0.000000e+00,-2.639645e-02,4.102332e-20
4.166667e-04,-2.654396e-02,8.012689e-10
8.333333e-04,-2.666386e-02,1.749573e-09
1.250000e-03,-2.676463e-02,2.809679e-09
1.666667e-03,-2.684973e-02,3.966581e-09
2.083333e-03,-2.692093e-02,5.211863e-09
2.500000e-03,-2.697928e-02,6.539985e-09
2.916667e-03,-2.702551e-02,7.946934e-09
3.333333e-03,-2.706022e-02,9.429704e-09
3.750000e-03,-2.708398e-02,1.098614e-08
4.166667e-03,-2.709739e-02,1.261487e-08
4.583333e-03,-2.710112e-02,1.431530e-08
5.000000e-03,-2.709589e-02,1.608738e-08
5.416667e-03,-2.708255e-02,1.793136e-08
5.833333e-03,-2.706200e-02,1.984746e-08
6.250000e-03,-2.703524e-02,2.183543e-08
6.666667e-03,-2.700335e-02,2.389432e-08
7.083333e-03,-2.696747e-02,2.602220e-08
7.500000e-03,-2.692881e-02,2.821617e-08
7.916667e-03,-2.688862e-02,3.047233e-08
8.333333e-03,-2.684817e-02,3.278599e-08
8.750000e-03,-2.680877e-02,3.515182e-08
9.166667e-03,-2.677170e-02,3.756412e-08
9.583333e-03,-2.673826e-02,4.001701e-08
1.000000e-02,-2.670968e-02,4.250467e-08
1.041667e-02,-2.668719e-02,4.502149e-08
1.083333e-02,-2.667191e-02,4.756217e-08
1.125000e-02,-2.666492e-02,5.012190e-08
1.166667e-02,-2.666719e-02,5.269634e-08
1.208333e-02,-2.667961e-02,5.528173e-08
1.250000e-02,-2.670292e-02,5.787487e-08
1.291667e-02,-2.673777e-02,6.047317e-08
1.333333e-02,-2.678466e-02,6.307460e-08
1.375000e-02,-2.684396e-02,6.567771e-08
1.416667e-02,-2.691587e-02,6.828159e-08
1.458333e-02,-2.700048e-02,7.088590e-08
1.500000e-02,-2.709769e-02,7.349076e-08
1.541667e-02,-2.720726e-02,7.609680e-08
1.583333e-02,-2.732882e-02,7.870511e-08
1.625000e-02,-2.746182e-02,8.131717e-08
1.666667e-02,-2.760559e-02,8.393486e-08
1.708333e-02,-2.775933e-02,8.656039e-08
1.750000e-02,-2.792209e-02,8.919630e-08
1.791667e-02,-2.809282e-02,9.184536e-08
1.833333e-02,-2.827037e-02,9.451058e-08
1.875000e-02,-2.845349e-02,9.719513e-08
1.916667e-02,-2.864086e-02,9.990231e-08
1.958333e-02,-2.883109e-02,1.026355e-07
2.000000e-02,-2.902274e-02,1.053981e-07
2.041667e-02,-2.921437e-02,1.081934e-07
2.083333e-02,-2.940448e-02,1.110249e-07
2.125000e-02,-2.959160e-02,1.138957e-07
2.166667e-02,-2.977428e-02,1.168088e-07
2.208333e-02,-2.995109e-02,1.197671e-07
2.250000e-02,-3.012066e-02,1.227732e-07
2.291667e-02,-3.028169e-02,1.258295e-07
2.333333e-02,-3.043296e-02,1.289379e-07
2.375000e-02,-3.057332e-02,1.321003e-07
2.416667e-02,-3.070174e-02,1.353180e-07
2.458333e-02,-3.081733e-02,1.385919e-07
2.500000e-02,-3.091929e-02,1.419227e-07
2.541667e-02,-3.100697e-02,1.453105e-07
2.583333e-02,-3.107985e-02,1.487553e-07
2.625000e-02,-3.113757e-02,1.522565e-07
2.666667e-02,-3.117992e-02,1.558130e-07
2.708333e-02,-3.120682e-02,1.594235e-07
2.750000e-02,-3.121837e-02,1.630863e-07
2.791667e-02,-3.121480e-02,1.667993e-07
2.833333e-02,-3.119650e-02,1.705601e-07
2.875000e-02,-3.116399e-02,1.743660e-07
2.916667e-02,-3.111796e-02,1.782138e-07
2.958333e-02,-3.105919e-02,1.821004e-07
3.000000e-02,-3.098862e-02,1.860222e-07
3.041667e-02,-3.090728e-02,1.899755e-07
3.083333e-02,-3.081631e-02,1.939563e-07
3.125000e-02,-3.071696e-02,1.979606e-07
3.166667e-02,-3.061052e-02,2.019843e-07
3.208333e-02,-3.049838e-02,2.060231e-07
3.250000e-02,-3.038197e-02,2.100730e-07
3.291667e-02,-3.026275e-02,2.141295e-07
3.333333e-02,-3.014220e-02,2.181886e-07
3.375000e-02,-3.002181e-02,2.222463e-07
3.416667e-02,-2.990307e-02,2.262986e-07
3.458333e-02,-2.978742e-02,2.303417e-07
3.500000e-02,-2.967628e-02,2.343722e-07
3.541667e-02,-2.957099e-02,2.383868e-07
3.583333e-02,-2.947284e-02,2.423824e-07
3.625000e-02,-2.938302e-02,2.463564e-07
3.666667e-02,-2.930263e-02,2.503065e-07
3.708333e-02,-2.923265e-02,2.542307e-07
3.750000e-02,-2.917395e-02,2.581275e-07
3.791667e-02,-2.912724e-02,2.619958e-07
3.833333e-02,-2.909311e-02,2.658349e-07
3.875000e-02,-2.907202e-02,2.696445e-07
3.916667e-02,-2.906424e-02,2.734250e-07
3.958333e-02,-2.906991e-02,2.771771e-07
4.000000e-02,-2.908901e-02,2.809018e-07
4.041667e-02,-2.912134e-02,2.846007e-07
4.083333e-02,-2.916659e-02,2.882760e-07
4.125000e-02,-2.922425e-02,2.919301e-07
4.166667e-02,-2.929370e-02,2.955657e-07
4.208333e-02,-2.937415e-02,2.991860e-07
4.250000e-02,-2.946472e-02,3.027945e-07
4.291667e-02,-2.956438e-02,3.063950e-07
4.333333e-02,-2.967200e-02,3.099914e-07
4.375000e-02,-2.978636e-02,3.135878e-07
4.416667e-02,-2.990617e-02,3.171885e-07
4.458333e-02,-3.003004e-02,3.207978e-07
4.500000e-02,-3.015657e-02,3.244201e-07
4.541667e-02,-3.028431e-02,3.280597e-07
4.583333e-02,-3.041179e-02,3.317208e-07
4.625000e-02,-3.053754e-02,3.354075e-07
4.666667e-02,-3.066012e-02,3.391236e-07
4.708333e-02,-3.077811e-02,3.428728e-07
4.750000e-02,-3.089014e-02,3.466585e-07
4.791667e-02,-3.099490e-02,3.504837e-07
4.833333e-02,-3.109117e-02,3.543511e-07
4.875000e-02,-3.117781e-02,3.582631e-07
4.916667e-02,-3.125378e-02,3.622214e-07
4.958333e-02,-3.131818e-02,3.662276e-07
5.000000e-02,-3.137019e-02,3.702827e-07
5.041667e-02,-3.140917e-02,3.743872e-07
5.083333e-02,-3.143459e-02,3.785412e-07
5.125000e-02,-3.144607e-02,3.827445e-07
5.166667e-02,-3.144338e-02,3.869961e-07
5.208333e-02,-3.142644e-02,3.912949e-07
5.250000e-02,-3.139533e-02,3.956392e-07
5.291667e-02,-3.135026e-02,4.000268e-07
5.333333e-02,-3.129162e-02,4.044553e-07
5.375000e-02,-3.121991e-02,4.089219e-07
5.416667e-02,-3.113579e-02,4.134234e-07
5.458333e-02,-3.104005e-02,4.179564e-07
5.500000e-02,-3.093359e-02,4.225171e-07
5.541667e-02,-3.081745e-02,4.271015e-07
5.583333e-02,-3.069274e-02,4.317056e-07
5.625000e-02,-3.056070e-02,4.363251e-07
5.666667e-02,-3.042261e-02,4.409554e-07
5.708333e-02,-3.027985e-02,4.455923e-07
5.750000e-02,-3.013383e-02,4.502312e-07
5.791667e-02,-2.998600e-02,4.548676e-07
5.833333e-02,-2.983785e-02,4.594973e-07
5.875000e-02,-2.969084e-02,4.641159e-07
5.916667e-02,-2.954647e-02,4.687194e-07
5.958333e-02,-2.940616e-02,4.733039e-07
6.000000e-02,-2.927132e-02,4.778658e-07
6.041667e-02,-2.914330e-02,4.824017e-07
6.083333e-02,-2.902337e-02,4.869087e-07
6.125000e-02,-2.891274e-02,4.913841e-07
6.166667e-02,-2.881247e-02,4.958257e-07
6.208333e-02,-2.872357e-02,5.002317e-07
6.250000e-02,-2.864688e-02,5.046008e-07
6.291667e-02,-2.858312e-02,5.089321e-07
6.333333e-02,-2.853290e-02,5.132254e-07
6.375000e-02,-2.849663e-02,5.174806e-07
6.416667e-02,-2.847461e-02,5.216986e-07
6.458333e-02,-2.846697e-02,5.258804e-07
6.500000e-02,-2.847368e-02,5.300277e-07
6.541667e-02,-2.849455e-02,5.341427e-07
6.583333e-02,-2.852923e-02,5.382280e-07
6.625000e-02,-2.857724e-02,5.422865e-07
6.666667e-02,-2.863793e-02,5.463217e-07
6.708333e-02,-2.871052e-02,5.503374e-07
6.750000e-02,-2.879410e-02,5.543378e-07
6.791667e-02,-2.888763e-02,5.583270e-07
6.833333e-02,-2.898999e-02,5.623098e-07
6.875000e-02,-2.909993e-02,5.662909e-07
6.916667e-02,-2.921613e-02,5.702749e-07
