gamma,bathFrequency_Hz,bathAmplitude_cm,CoM_max_cm,CoM_rms_cm,elapsed_s,status
0.0500,10,1.242451e-02,3.0515e-02,2.9319e-02,155.6,ok
0.2000,10,4.969804e-02,3.3661e-02,2.9455e-02,162.8,ok
0.5000,10,1.242451e-01,4.0630e-02,3.0064e-02,190.2,ok
0.0500,20,3.106128e-03,3.0911e-02,2.9300e-02,143.0,ok
0.2000,20,1.242451e-02,3.3214e-02,2.9444e-02,155.5,ok
0.5000,20,3.106128e-02,3.7903e-02,3.0124e-02,181.5,ok
0.0500,30,1.380501e-03,3.0585e-02,2.9290e-02,127.5,ok
0.2000,30,5.522005e-03,3.2251e-02,2.9369e-02,147.3,ok
0.5000,30,1.380501e-02,3.5730e-02,2.9759e-02,198.7,ok
0.0500,40,7.765319e-04,3.0447e-02,2.9280e-02,143.2,ok
0.2000,40,3.106128e-03,3.1446e-02,2.9323e-02,173.5,ok
0.5000,40,7.765319e-03,3.3773e-02,2.9547e-02,188.4,ok
0.0500,50,4.969804e-04,3.0434e-02,2.9273e-02,133.8,ok
0.2000,50,1.987922e-03,3.1183e-02,2.9304e-02,153.0,ok
0.5000,50,4.969804e-03,3.2731e-02,2.9439e-02,166.7,ok
0.0500,60,3.451253e-04,3.0285e-02,2.9268e-02,116.3,ok
0.2000,60,1.380501e-03,3.0871e-02,2.9291e-02,186.8,ok
0.5000,60,3.451253e-03,3.2103e-02,2.9382e-02,188.4,ok
0.0500,70,2.535614e-04,3.0327e-02,2.9266e-02,160.5,ok
0.2000,70,1.014246e-03,3.0723e-02,2.9283e-02,178.1,ok
0.5000,70,2.535614e-03,3.1534e-02,2.9348e-02,192.5,ok
0.0500,80,1.941330e-04,3.0288e-02,2.9262e-02,160.2,ok
0.2000,80,7.765319e-04,3.0626e-02,2.9266e-02,169.7,ok
0.5000,80,1.941330e-03,3.1317e-02,2.9329e-02,203.3,ok
0.0500,90,1.533890e-04,3.0274e-02,2.9258e-02,157.7,ok
0.2000,90,6.135561e-04,3.0522e-02,2.9271e-02,166.2,ok
0.5000,90,1.533890e-03,3.1083e-02,2.9313e-02,199.6,ok
0.0500,100,1.242451e-04,3.0272e-02,2.9257e-02,161.1,ok
0.2000,100,4.969804e-04,3.0493e-02,2.9267e-02,163.7,ok
0.5000,100,1.242451e-03,3.0940e-02,2.9302e-02,179.9,ok
